what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.ide.filesystem.secureftp,2.0.4.1278035782,"com.aptana.ide.filesystem.secureftp",1348666084157
stopped,bundle,com.aptana.ide.syncing.doms,2.0.5.1278614541,"com.aptana.ide.syncing.doms",1348666084158
stopped,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1348666084158
stopped,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1348666084158
stopped,bundle,com.aptana.ide.ui.ftp,2.0.3.1278614541,"com.aptana.ide.ui.ftp",1348666084159
stopped,bundle,com.aptana.ide.filesystem.ftp,2.0.5.1278614541,"com.aptana.ide.filesystem.ftp",1348666084160
stopped,bundle,com.aptana.ide.pathtools,2.0.1.1278614541,"com.aptana.ide.pathtools",1348666084160
stopped,bundle,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io",1348666084161
stopped,bundle,com.aptana.ide.core.io,2.0.5.1278614541,"com.aptana.ide.core.io",1348666084161
stopped,bundle,com.aptana.ide.editor.css,2.0.0.1257380403,"com.aptana.ide.editor.css",1348666084161
stopped,bundle,com.aptana.ide.js.docgen,2.0.0.1278523018,"com.aptana.ide.js.docgen",1348666084162
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1348666084162
stopped,bundle,org.eclipse.eclipsemonkey.ui,2.0.0.1277749615,"org.eclipse.eclipsemonkey.ui",1348666084163
stopped,bundle,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editor.js",1348666084163
stopped,bundle,com.aptana.ide.editor.json,2.0.0.1278614541,"com.aptana.ide.editor.json",1348666084163
stopped,bundle,com.aptana.ide.editor.text,2.0.0.1253913567,"com.aptana.ide.editor.text",1348666084164
stopped,bundle,com.aptana.ide.editor.yaml,2.0.0.1255038335,"com.aptana.ide.editor.yaml",1348666084164
stopped,bundle,com.aptana.ide.editors.codeassist,2.0.0.1278523018,"com.aptana.ide.editors.codeassist",1348666084165
stopped,bundle,com.aptana.ide.editors.ui,2.0.0.1278614541,"com.aptana.ide.editors.ui",1348666084165
stopped,bundle,com.aptana.ide.logging,2.0.0.1278523018,"com.aptana.ide.logging",1348666084166
stopped,bundle,com.aptana.ide.snippets,2.0.0.1277749615,"com.aptana.ide.snippets",1348666084166
stopped,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1348666084166
stopped,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1348666084167
stopped,bundle,com.aptana.ide.search,2.0.0.1278523018,"com.aptana.ide.search",1348666084167
stopped,bundle,com.aptana.ide.search.epl,2.0.0.1278523018,"com.aptana.ide.search.epl",1348666084168
stopped,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1348666084169
stopped,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1348666084169
stopped,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1348666084169
stopped,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1278523018,"com.aptana.ide.desktop.integration.protocolhandler",1348666084169
stopped,bundle,com.aptana.ide.index.core,2.0.0.1278614541,"com.aptana.ide.index.core",1348666084170
stopped,bundle,com.aptana.ide.epl,2.0.0.1278523018,"com.aptana.ide.epl",1348666084170
stopped,bundle,com.aptana.ide.interpreters,2.0.0.1253913567,"com.aptana.ide.interpreters",1348666084173
stopped,bundle,com.aptana.ide.samples,2.0.0.1278523018,"com.aptana.ide.samples",1348666084174
stopped,bundle,com.aptana.ide.ui,2.0.0.1278614541,"com.aptana.ide.ui",1348666084175
stopped,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1348666084175
stopped,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1348666084175
stopped,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1348666084175
stopped,bundle,com.aptana.ide.core,2.0.5.1278523018,"com.aptana.ide.core",1348666084227
stopped,bundle,com.aptana.ide.core.epl,2.0.0.1278614541,"com.aptana.ide.core.epl",1348666084227
stopped,bundle,com.aptana.ide.core.spellcheck,2.0.0.1278523018,"com.aptana.ide.core.spellcheck",1348666084227
stopped,bundle,com.aptana.ide.io.file,2.0.2.1278614541,"com.aptana.ide.io.file",1348666084228
stopped,bundle,com.aptana.ide.parsing.eclipse,2.0.0.1277153545,"com.aptana.ide.parsing.eclipse",1348666084232
stopped,bundle,com.aptana.ide.parsing,2.0.0.1277153545,"com.aptana.ide.parsing",1348666084232
stopped,bundle,com.aptana.ide.ssh,2.0.0.1254960199,"com.aptana.ide.ssh",1348666084234
stopped,bundle,com.aptana.ide.ui.io.epl,2.0.0.1278614541,"com.aptana.ide.ui.io.epl",1348666084234
stopped,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1348666084235
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1348666084254
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1348666084272
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1348666084287
