what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1348589432629
error,log,,,"プロパティー・テスターがプロパティー com.aptana.ide.core.ui.nature を型 class org.eclipse.jdt.internal.core.JavaProject に提供していません",1348589436026
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1348589437373
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1348589437408
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1348589437413
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1348589472345
opened,view,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt.internal.lint.LintViewPart",1348589472518
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1348589472535
activated,view,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt.internal.lint.LintViewPart",1348589472556
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1348589473515
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1348589473566
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1348589473654
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1348589473999
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1348589474042
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1348589474102
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1348589474320
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1348589474467
error,log,,,"Could not read jar file contents from /EasyOrigami/libs/cordova-2.0.0.jar",1348589476641
error,log,,,"Error changing index details workspace://",1348589477558
error,log,,,"Could not add repository index",1348589477560
error,log,,,"Error changing index details file:/Users/shingukei/.m2/repository/",1348589477566
error,log,,,"Could not add repository index",1348589477567
error,log,,,"Error changing index details central|http://repo1.maven.org/maven2",1348589477574
error,log,,,"Could not add repository index",1348589477576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589485006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589489417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589492584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589703276
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1348589706007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589717059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589719255
activated,view,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt.internal.lint.LintViewPart",1348589719270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589723123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348589729220
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1348589731429
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1348589735521
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1348589735523
