what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1348575258458
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1348575258458
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1348575258458
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1348575258458
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1348575258458
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1348575258459
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1348575258459
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348575258459
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1348575258459
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1348575258459
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1348575258459
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1348575258459
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1348575258459
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1348575258496
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1348575258496
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1348575258496
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1348575258496
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1348575258496
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1348575258496
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1348575258496
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348575258497
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348575258497
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348575258497
started,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1348575258497
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1348575258498
started,bundle,org.python.pydev,2.2.1.2011071313,"org.python.pydev",1348575258498
started,bundle,org.python.pydev.core,2.2.1.2011071313,"org.python.pydev.core",1348575258498
started,bundle,org.python.pydev.debug,2.2.1.2011071313,"org.python.pydev.debug",1348575258498
os,sysinfo,,,"macosx",1348575258501
arch,sysinfo,,,"x86_64",1348575258501
ws,sysinfo,,,"cocoa",1348575258501
locale,sysinfo,,,"ja_JP",1348575258501
processors,sysinfo,,,"4",1348575258501
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348575258501
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1348575258501
java.specification.name,sysinfo,,,"Java Platform API Specification",1348575258501
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348575258501
java.specification.version,sysinfo,,,"1.6",1348575258501
java.vendor,sysinfo,,,"Apple Inc.",1348575258501
java.version,sysinfo,,,"1.6.0_35",1348575258501
java.vm.info,sysinfo,,,"mixed mode",1348575258501
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348575258501
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348575258501
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348575258501
java.vm.specification.version,sysinfo,,,"1.0",1348575258501
java.vm.vendor,sysinfo,,,"Apple Inc.",1348575258501
java.vm.version,sysinfo,,,"20.10-b01-428",1348575258501
